id_trabajador,estado,antiguedad,curso,curso_id
938,Campeche,47.0,Operación de las comisiones de vigilancia del registro federal de electores,1
938,Campeche,47.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
938,Campeche,47.0,Verificación del padrón electoral,3
1205,Nuevo León,39.0,Depuración del padrón electoral,4
1205,Nuevo León,39.0,Reincorporación al padrón electoral,5
1205,Nuevo León,39.0,Verificación del padrón electoral,3
1422,Guanajuato,36.0,Atención de asuntos jurídicos,6
1422,Guanajuato,36.0,Operación de las comisiones de vigilancia del registro federal de electores,1
1422,Guanajuato,36.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
745,Veracruz,33.0,Operación de las comisiones de vigilancia del registro federal de electores,1
1731,México,33.0,Operación de las comisiones de vigilancia del registro federal de electores,1
1495,Ciudad de México,33.0,Operación de las comisiones de vigilancia del registro federal de electores,1
1495,Ciudad de México,33.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
1731,México,33.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
1495,Ciudad de México,33.0,Depuración del padrón electoral,4
745,Veracruz,33.0,Depuración del padrón electoral,4
745,Veracruz,33.0,Operación de módulos de atención ciudadana,7
1731,México,33.0,Verificación del padrón electoral,3
1719,Ciudad de México,32.0,Atención de asuntos jurídicos,6
1737,Chiapas,32.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
427,Nuevo León,32.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
1880,México,32.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
416,Baja California,32.0,"Aplicación y gestión de recursos humanos, materiales y financieros",8
1258,México,32.0,Selección de personal,9
799,México,32.0,Operación de las comisiones de vigilancia del registro federal de electores,1
1685,Yucatán,32.0,Operación de las comisiones de vigilancia del registro federal de electores,1
318,Guanajuato,32.0,Operación de las comisiones de vigilancia del registro federal de electores,1
1737,Chiapas,32.0,Operación de las comisiones de vigilancia del registro federal de electores,1
1756,Ciudad de México,32.0,Operación de las comisiones de vigilancia del registro federal de electores,1
1128,Nuevo León,32.0,Administración de base de datos,10
1957,Michoacán,32.0,Administración de base de datos,10
1138,Nayarit,32.0,Administración de base de datos,10
1258,México,32.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
1297,Guerrero,32.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
2163,Ciudad de México,32.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
799,México,32.0,Actualización del padrón electoral y credencialización de los ciudadanos,2
25,San Luis Potosí,32.0,Construcción de la cartografía electoral,11
1880,México,32.0,Construcción de la cartografía electoral,11
1957,Michoacán,32.0,Construcción de la cartografía electoral,11
1969,Querétaro,32.0,Construcción de la cartografía electoral,11
1258,México,32.0,Construcción de la cartografía electoral,11
749,Ciudad de México,32.0,Fiscalización a los sujetos obligados,12
1719,Ciudad de México,32.0,Fiscalización a los sujetos obligados,12
849,Aguascalientes,32.0,Depuración del padrón electoral,4
1756,Ciudad de México,32.0,Depuración del padrón electoral,4
1931,Quintana Roo,32.0,Depuración del padrón electoral,4
2163,Ciudad de México,32.0,Depuración del padrón electoral,4
318,Guanajuato,32.0,Depuración del padrón electoral,4
1737,Chiapas,32.0,Depuración del padrón electoral,4
2002,Tamaulipas,32.0,Impartición de capacitación,13
44,Aguascalientes,32.0,"Planeación de planes, programas y proyectos",14
1097,Tlaxcala,32.0,"Planeación de planes, programas y proyectos",14
1206,Chihuahua,32.0,"Planeación de planes, programas y proyectos",14
1655,Chihuahua,32.0,"Planeación de planes, programas y proyectos",14
318,Guanajuato,32.0,Operación de módulos de atención ciudadana,7
1499,Sinaloa,32.0,Operación de módulos de atención ciudadana,7
2024,Quintana Roo,32.0,Operación de módulos de atención ciudadana,7
1297,Guerrero,32.0,Operación de módulos de atención ciudadana,7
1756,Ciudad de México,32.0,Operación de módulos de atención ciudadana,7
416,Baja California,32.0,Aplicación de metodología estadística y/o demográfica,15
427,Nuevo León,32.0,Aplicación de metodología estadística y/o demográfica,15
1138,Nayarit,32.0,Aplicación de metodología estadística y/o demográfica,15
2024,Quintana Roo,32.0,Aplicación de metodología estadística y/o demográfica,15
1499,Sinaloa,32.0,Aplicación de metodología estadística y/o demográfica,15
25,San Luis Potosí,32.0,Aplicación de metodología estadística y/o demográfica,15
