id,estado,antiguedad,modalidad,value
1,Chihuahua,1.0,b.	Distancia,Selección de personal
2,Coahuila,0.0,a.	Presencial,Diseño de programas de capacitación
3,Coahuila,10.0,b.	Distancia,Construcción de la cartografía electoral
4,Coahuila,8.0,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
5,Coahuila,3.0,a.	Presencial,"Planeación de planes, programas y proyectos"
6,Chihuahua,30.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
7,Chiapas,10.0,a.	Presencial,Diseño de materiales de capacitación
8,Aguascalientes,8.0,b.	Distancia,"Determinación de financiamiento público a partidos políticos nacionales, locales y candidaturas independientes"
9,Campeche,0.0,b.	Distancia,Distribución de documentación y material electoral
10,Puebla,1.0,b.	Distancia,Administración de base de datos
11,Veracruz,1.5,b.	Distancia,Operación de las comisiones de vigilancia del registro federal de electores
12,Ciudad de México,8.0,c.	Mixta,Administración de tecnología de información y comunicaciones
13,Guanajuato,7.0,b.	Distancia,Registro de actos de partidos y agrupaciones políticas
14,Veracruz,13.0,b.	Distancia,Administración de base de datos
15,Quintana Roo,11.0,c.	Mixta,Selección de personal
16,Ciudad de México,31.0,c.	Mixta,Verificación de sesiones de los órganos desconcentrados
17,Ciudad de México,30.0,b.	Distancia,Procesamiento informático
18,Ciudad de México,22.0,b.	Distancia,Administración de tecnología de información y comunicaciones
19,México,5.0,c.	Mixta,Selección de personal
20,Querétaro,28.0,c.	Mixta,Construcción de la cartografía electoral
21,Oaxaca,1.6,b.	Distancia,"Aplicación y gestión de recursos humanos, materiales y financieros"
22,México,10.0,b.	Distancia,Diseño de materiales de capacitación
23,Chihuahua,10.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
24,Guanajuato,5.0,c.	Mixta,Selección de personal
25,San Luis Potosí,32.0,b.	Distancia,Construcción de la cartografía electoral
26,Chihuahua,6.0,c.	Mixta,Atención de asuntos jurídicos
27,Aguascalientes,10.0,c.	Mixta,Selección de personal
28,Yucatán,1.0,a.	Presencial,Operación de las comisiones de vigilancia del registro federal de electores
29,San Luis Potosí,1.0,b.	Distancia,"Seguimiento de planes, programas y proyectos"
30,Chiapas,1.0,b.	Distancia,Administración de base de datos
31,Querétaro,31.0,c.	Mixta,Aplicación de metodología estadística y/o demográfica
32,Tlaxcala,4.0,b.	Distancia,Administración de base de datos
33,México,8.0,c.	Mixta,Diseño de materiales de capacitación
