Equipo,Competición,Temporada,Partidos,%Posesion de balon,%Posesion en campo rival,Tiros,Tiros al arco,Goles,Goles esperados,Tiros recibidos,Tiros recibidos al arco,Goles recibidos esperados,Goles recibidos,Puntos por partido,Contra ataques hechos,Contra ataques efectivos hechos,Contra ataques recibidos,Contra ataques efectivos recibidos,Pases totales,Centros,Pases bajo presion,%Pases exitosos totales,%Pases exitosos bajo presion,%Pases exitosos sin presion,Recuperaciones de balon,tiempo_presion,tiempo_presion_ofensiva,tiempo_presion_defensiva,bloqueos,despejes,duelos_ganados,faltas_cometidas,#se_llevan_a_un_defensa,intercepciones
Hoffenheim,1. Bundesliga,2015/2016,34,45.87788587769261,17.06450245157199,10.617647058823529,4.176470588235294,1.088235294117647,1.1751112463794118,15.147058823529411,6.117647058823529,1.5583088765735293,1.411764705882353,1.088235294117647,3.0588235294117645,0.08823529411764706,3.1470588235294117,0.17647058823529413,440.94117647058823,9.235294117647058,82.26470588235294,75.44,66.96,77.38,45.470588235294116,144.07823182352942,59.480931911764706,84.59729991176471,23.88235294117647,25.558823529411764,7.323529411764706,15.911764705882353,9.294117647058824,5.705882352941177
Bayern Munich,1. Bundesliga,2015/2016,34,72.58628442370919,36.73571520256907,17.08823529411765,7.647058823529412,2.176470588235294,2.0526057549705885,6.911764705882353,2.4705882352941178,0.6042474373176471,0.47058823529411764,2.588235294117647,1.9705882352941178,0.14705882352941177,1.9411764705882353,0.058823529411764705,754.1176470588235,16.205882352941178,112.02941176470588,87.81,78.55,89.43,47.1764705882353,96.27072302941177,53.32528526470588,42.945437764705886,14.176470588235293,13.382352941176471,4.882352941176471,12.529411764705882,6.5588235294117645,4.235294117647059
Hertha Berlin,1. Bundesliga,2015/2016,34,49.68778382361484,16.65465900126885,9.029411764705882,3.6470588235294117,1.1470588235294117,0.9802766381558825,11.647058823529411,4.294117647058823,1.177299802997059,1.1470588235294117,1.4705882352941178,2.4411764705882355,0.11764705882352941,2.3823529411764706,0.08823529411764706,492.70588235294116,10.176470588235293,86.11764705882354,79.11,69.81,81.08,43.5,133.28001788235292,48.488247588235296,84.79177029411764,18.147058823529413,23.058823529411764,7.029411764705882,15.294117647058824,7.5,4.117647058823529
Hamburger SV,1. Bundesliga,2015/2016,34,48.88455033796653,18.171382373682224,10.264705882352942,3.735294117647059,1.0294117647058822,1.057562906820588,12.852941176470589,5.0588235294117645,1.2991239560411765,1.2352941176470589,1.2058823529411764,2.9705882352941178,0.08823529411764706,3.0294117647058822,0.14705882352941177,449.7352941176471,9.117647058823529,88.20588235294117,73.7,65.49,75.71,49.705882352941174,151.33388438235292,56.115093470588235,95.2187909117647,21.88235294117647,24.852941176470587,9.117647058823529,18.5,10.470588235294118,5.9411764705882355
Borussia Dortmund,1. Bundesliga,2015/2016,34,63.96274535065904,30.975797655312427,14.705882352941176,6.235294117647059,2.2941176470588234,2.157967480226471,7.382352941176471,3.1470588235294117,0.8709513624264706,0.9411764705882353,2.2941176470588234,2.5294117647058822,0.14705882352941177,2.6470588235294117,0.058823529411764705,669.9705882352941,12.764705882352942,105.05882352941177,84.47,73.4,86.53,49.64705882352941,133.6573005882353,64.74548744117648,68.91181314705882,18.264705882352942,18.323529411764707,7.323529411764706,12.5,7.5,4.323529411764706
Wolfsburg,1. Bundesliga,2015/2016,34,58.07756404495277,24.627667495588405,13.323529411764707,5.411764705882353,1.2647058823529411,1.2891062719382351,10.470588235294118,4.4411764705882355,1.1277572665588236,1.3529411764705883,1.3235294117647058,2.676470588235294,0.029411764705882353,2.7941176470588234,0.20588235294117646,572.5,14.647058823529411,96.02941176470588,82.71,74.64,84.34,49.26470588235294,118.79833352941176,45.298966,73.49936752941176,17.441176470588236,18.38235294117647,7.205882352941177,14.970588235294118,8.147058823529411,4.647058823529412
Schalke 04,1. Bundesliga,2015/2016,34,51.93082911378492,20.76009262500931,13.176470588235293,4.764705882352941,1.2647058823529411,1.2781764023882352,13.235294117647058,4.882352941176471,1.2151829971441175,1.3529411764705883,1.5294117647058822,2.735294117647059,0.14705882352941177,2.7941176470588234,0.17647058823529413,487.7352941176471,10.970588235294118,87.32352941176471,80.05,70.93,82.03,47.470588235294116,132.42240608823528,49.97061,82.4517960882353,19.970588235294116,22.38235294117647,7.117647058823529,16.794117647058822,8.088235294117647,5.588235294117647
FSV Mainz 05,1. Bundesliga,2015/2016,34,45.3799209234032,15.99722786924865,10.5,4.470588235294118,1.3235294117647058,1.241179510967647,12.588235294117647,4.676470588235294,1.3491137783735296,1.1176470588235294,1.4705882352941178,3.2941176470588234,0.23529411764705882,3.323529411764706,0.029411764705882353,430.5882352941176,8.735294117647058,79.6470588235294,74.26,66.06,76.11,48.35294117647059,155.93080055882353,63.04214923529413,92.88865132352942,21.970588235294116,25.352941176470587,8.529411764705882,17.235294117647058,10.176470588235293,5.647058823529412
Augsburg,1. Bundesliga,2015/2016,34,46.081539257966085,17.225305959378403,12.176470588235293,4.676470588235294,1.1764705882352942,1.1660442922441179,14.764705882352942,5.470588235294118,1.4902610686941178,1.3823529411764706,1.1176470588235294,2.4705882352941178,0.08823529411764706,2.2941176470588234,0.08823529411764706,428.97058823529414,10.676470588235293,78.1470588235294,76.56,66.5,78.81,44.14705882352941,130.72652732352944,49.50901914705883,81.21750817647059,20.294117647058822,27.705882352941178,7.5588235294117645,17.147058823529413,7.970588235294118,5.205882352941177
Bayer Leverkusen,1. Bundesliga,2015/2016,34,54.24509363684268,23.80283049355743,12.823529411764707,5.470588235294118,1.3823529411764706,1.3390603353441175,9.764705882352942,4.205882352941177,1.1418508306441177,1.1176470588235294,1.7647058823529411,2.8823529411764706,0.14705882352941177,2.8529411764705883,0.058823529411764705,472.0,11.205882352941176,90.11764705882354,74.76,67.72,76.42,57.1764705882353,128.72252297058822,58.006456088235296,70.71606688235295,22.61764705882353,22.11764705882353,8.411764705882353,16.61764705882353,11.558823529411764,6.4411764705882355
